RTO Code,City,District
KL56,Koyilandy,Kozhikode
KL57,Koduvally,Kozhikode
KL58,Thalassery,Kannur
KL59,Taliparamba,Kannur
KL60,Kanhangad,Kasaragod
KL61,Kunnathur,Kollam
KL62,Ranni,Pathanamthitta
KL63,Angamaly,Ernakulam
KL64,Chalakkudy,Thrissur
KL65,Tirurangadi,Malappuram
KL66,Kuttanad,Alappuzha
KL67,Uzhavoor,Kottayam
KL68,Devikulam,Idukki
KL69,Udumbanchola,Idukki
KL70,Chittur,Palakkad
KL71,Nilambur,Malappuram
KL72,Mananthavady,Wayanad
KL73,Sulthan Bathery,Wayanad
KL74,Kattakkada,Thiruvananthapuram
KL75,Thriprayar,Thrissur
KL76,Nanmanda,Kozhikode
KL77,Perambra,Kozhikode
KL78,Iritty,Kannur
KL79,Vellarikundu,Kasaragod
KL80,Pathanapuram,Kollam
KL81,Varkala,Thiruvananthapuram
KL82,Chadayamangalam,Kollam
KL83,Konni,Pathanamthitta
KL84,Kondotty,Malappuram
KL85,Ramanattukara,Kozhikode
KL86,Payyanur,Kannur
KL87,Pattazhi,Kollam
PY1,Puducherry (City),Puducherry
PY2,Karaikal,Karaikal
PY3,Mahe,Mahe
PY4,Yanam,Yanam
PY5,Oulgaret,Puducherry
PY11,Bahour,Puducherry
PY51,Villianur / Thirubuvanai,Puducherry
PY99,Check Post,Puducherry / Karaikal
AR1,Itanagar (DTO Capital Complex),Papum Pare (Capital Complex)
AR2,Itanagar (RTO),Papum Pare
AR3,Tawang,Tawang
AR4,Bomdila,West Kameng
AR5,Seppa,East Kameng
AR6,Ziro,Lower Subansiri
AR7,Daporijo,Upper Subansiri
AR8,Aalo (Along),West Siang
AR9,Pasighat,East Siang
AR10,Anini,Dibang Valley
AR11,Tezu,Lohit
AR12,Changlang,Changlang
AR13,Khonsa,Tirap
AR14,Yingkiong,Upper Siang
AR15,Palin,Kurung Kumey
AR16,Roing,Lower Dibang Valley
AR17,Lohit (Hawai),Anjaw (formerly Lohit)
AR18,Longding,Longding
AR19,Palin (New),Kra Daadi (formerly Kurung Kumey)
AR20,Namsai,Namsai
AR21,Siang,Siang
AR22,Lower Siang,Lower Siang
AR23,Kamle,Kamle
AR24,Pakke-Kessang,Pakke-Kessang
AR25,Leparada,Leparada
TS1,Adilabad,Adilabad
TS2,Karimnagar,Karimnagar
TS3,Warangal Urban (Hanamkonda),Hanamkonda
TS4,Khammam,Khammam
TS5,Nalgonda,Nalgonda
TS6,Mahabubnagar,Mahabubnagar
TS7,Rangareddy (L.B. Nagar),Rangareddy
TS8,Medchal-Malkajgiri (Uppal),Medchal-Malkajgiri
TS9,Hyderabad Central,Hyderabad
TS10,Hyderabad North,Hyderabad
TS11,Hyderabad East,Hyderabad
TS12,Hyderabad South,Hyderabad
